Year,Sex,Age Group,Population Category/Ethnic,Population ('000)
2004,Male,40-44,Non-Malaysian citizens,72.7
2004,Male,45-49,Non-Malaysian citizens,42.4
2004,Male,50-54,Non-Malaysian citizens,24.8
2004,Male,55-59,Non-Malaysian citizens,15.5
2004,Male,60-64,Non-Malaysian citizens,8.8
2004,Male,65-69,Non-Malaysian citizens,6.2
2004,Male,70-74,Non-Malaysian citizens,3.8
2004,Male,75-79,Non-Malaysian citizens,3
2004,Male,80+,Non-Malaysian citizens,3.8
2004,Male,Total,Non-Malaysian citizens,1046.1
2004,Female,00-04,Non-Malaysian citizens,34
2004,Female,05-09,Non-Malaysian citizens,46.5
2004,Female,10-14,Non-Malaysian citizens,65.2
2004,Female,15-19,Non-Malaysian citizens,94.5
2004,Female,20-24,Non-Malaysian citizens,101.8
2004,Female,25-29,Non-Malaysian citizens,108.3
2004,Female,30-34,Non-Malaysian citizens,98.4
2004,Female,35-39,Non-Malaysian citizens,67
2004,Female,40-44,Non-Malaysian citizens,45.8
2004,Female,45-49,Non-Malaysian citizens,27.2
2004,Female,50-54,Non-Malaysian citizens,16.1
2004,Female,55-59,Non-Malaysian citizens,10
2004,Female,60-64,Non-Malaysian citizens,5.9
2004,Female,65-69,Non-Malaysian citizens,4.8
2004,Female,70-74,Non-Malaysian citizens,3.5
2004,Female,75-79,Non-Malaysian citizens,2.9
2004,Female,80+,Non-Malaysian citizens,4.2
2004,Female,Total,Non-Malaysian citizens,736.1
2005,Total,00-04,Non-Malaysian citizens,59.9
2005,Total,05-09,Non-Malaysian citizens,91.5
2005,Total,10-14,Non-Malaysian citizens,143
2005,Total,15-19,Non-Malaysian citizens,254.5
2005,Total,20-24,Non-Malaysian citizens,300.4
2005,Total,25-29,Non-Malaysian citizens,280.1
2005,Total,30-34,Non-Malaysian citizens,247
2005,Total,35-39,Non-Malaysian citizens,176.9
2005,Total,40-44,Non-Malaysian citizens,124.6
2005,Total,45-49,Non-Malaysian citizens,75.6
2005,Total,50-54,Non-Malaysian citizens,43.9
2005,Total,55-59,Non-Malaysian citizens,27.6
2005,Total,60-64,Non-Malaysian citizens,15.8
2005,Total,65-69,Non-Malaysian citizens,11.5
2005,Total,70-74,Non-Malaysian citizens,7.5
2005,Total,75-79,Non-Malaysian citizens,6
2005,Total,80+,Non-Malaysian citizens,8.2
2005,Total,Total,Non-Malaysian citizens,1874
2005,Male,00-04,Non-Malaysian citizens,31.2
2005,Male,05-09,Non-Malaysian citizens,48.2
2005,Male,10-14,Non-Malaysian citizens,79.7
2005,Male,15-19,Non-Malaysian citizens,149.5
2005,Male,20-24,Non-Malaysian citizens,186.9
2005,Male,25-29,Non-Malaysian citizens,170.4
2005,Male,30-34,Non-Malaysian citizens,144.9
2005,Male,35-39,Non-Malaysian citizens,105.1
2005,Male,40-44,Non-Malaysian citizens,76.2
2005,Male,45-49,Non-Malaysian citizens,46.2
2005,Male,50-54,Non-Malaysian citizens,26.5
2005,Male,55-59,Non-Malaysian citizens,16.6
2005,Male,60-64,Non-Malaysian citizens,9.4
2005,Male,65-69,Non-Malaysian citizens,6.6
2005,Male,70-74,Non-Malaysian citizens,4
2005,Male,75-79,Non-Malaysian citizens,3.1
2005,Male,80+,Non-Malaysian citizens,4
2005,Male,Total,Non-Malaysian citizens,1108.6
2005,Female,00-04,Non-Malaysian citizens,28.7
2005,Female,05-09,Non-Malaysian citizens,43.3
2005,Female,10-14,Non-Malaysian citizens,63.4
2005,Female,15-19,Non-Malaysian citizens,105
2005,Female,20-24,Non-Malaysian citizens,113.4
2005,Female,25-29,Non-Malaysian citizens,109.7
2005,Female,30-34,Non-Malaysian citizens,102.1
2005,Female,35-39,Non-Malaysian citizens,71.7
2005,Female,40-44,Non-Malaysian citizens,48.4
2005,Female,45-49,Non-Malaysian citizens,29.4
2005,Female,50-54,Non-Malaysian citizens,17.3
2005,Female,55-59,Non-Malaysian citizens,11
2005,Female,60-64,Non-Malaysian citizens,6.4
2005,Female,65-69,Non-Malaysian citizens,4.9
2005,Female,70-74,Non-Malaysian citizens,3.5
2005,Female,75-79,Non-Malaysian citizens,2.9
2005,Female,80+,Non-Malaysian citizens,4.2
2005,Female,Total,Non-Malaysian citizens,765.4
2006,Total,00-04,Non-Malaysian citizens,59
2006,Total,05-09,Non-Malaysian citizens,79.7
2006,Total,10-14,Non-Malaysian citizens,128.9
2006,Total,15-19,Non-Malaysian citizens,265.7
2006,Total,20-24,Non-Malaysian citizens,340.9
2006,Total,25-29,Non-Malaysian citizens,302.7
2006,Total,30-34,Non-Malaysian citizens,258.3
2006,Total,35-39,Non-Malaysian citizens,188.9
2006,Total,40-44,Non-Malaysian citizens,130.6
2006,Total,45-49,Non-Malaysian citizens,81.7
2006,Total,50-54,Non-Malaysian citizens,47.2
2006,Total,55-59,Non-Malaysian citizens,29.6
2006,Total,60-64,Non-Malaysian citizens,17.4
2006,Total,65-69,Non-Malaysian citizens,12
2006,Total,70-74,Non-Malaysian citizens,7.9
2006,Total,75-79,Non-Malaysian citizens,6.1
2006,Total,80+,Non-Malaysian citizens,8.5
2006,Total,Total,Non-Malaysian citizens,1965
2006,Male,00-04,Non-Malaysian citizens,30.7
2006,Male,05-09,Non-Malaysian citizens,42
2006,Male,10-14,Non-Malaysian citizens,71.6
2006,Male,15-19,Non-Malaysian citizens,155.2
2006,Male,20-24,Non-Malaysian citizens,213
2006,Male,25-29,Non-Malaysian citizens,188.2
2006,Male,30-34,Non-Malaysian citizens,153.7
2006,Male,35-39,Non-Malaysian citizens,111.8
2006,Male,40-44,Non-Malaysian citizens,79.4
2006,Male,45-49,Non-Malaysian citizens,50.1
2006,Male,50-54,Non-Malaysian citizens,28.5
2006,Male,55-59,Non-Malaysian citizens,17.7
2006,Male,60-64,Non-Malaysian citizens,10.3
2006,Male,65-69,Non-Malaysian citizens,6.9
2006,Male,70-74,Non-Malaysian citizens,4.2
2006,Male,75-79,Non-Malaysian citizens,3.1
2006,Male,80+,Non-Malaysian citizens,4.2
2006,Male,Total,Non-Malaysian citizens,1170.7
2006,Female,00-04,Non-Malaysian citizens,28.3
2006,Female,05-09,Non-Malaysian citizens,37.7
2006,Female,10-14,Non-Malaysian citizens,57.3
2006,Female,15-19,Non-Malaysian citizens,110.5
2006,Female,20-24,Non-Malaysian citizens,127.9
2006,Female,25-29,Non-Malaysian citizens,114.5
2006,Female,30-34,Non-Malaysian citizens,104.6
2006,Female,35-39,Non-Malaysian citizens,77.1
2006,Female,40-44,Non-Malaysian citizens,51.2
2006,Female,45-49,Non-Malaysian citizens,31.6
2006,Female,50-54,Non-Malaysian citizens,18.7
2006,Female,55-59,Non-Malaysian citizens,11.9
2006,Female,60-64,Non-Malaysian citizens,7.1
2006,Female,65-69,Non-Malaysian citizens,5.1
2006,Female,70-74,Non-Malaysian citizens,3.7
2006,Female,75-79,Non-Malaysian citizens,2.9
2006,Female,80+,Non-Malaysian citizens,4.3
2006,Female,Total,Non-Malaysian citizens,794.3
2007,Total,00-04,Non-Malaysian citizens,58.9
2007,Total,05-09,Non-Malaysian citizens,68.7
2007,Total,10-14,Non-Malaysian citizens,109.6
2007,Total,15-19,Non-Malaysian citizens,265.5
2007,Total,20-24,Non-Malaysian citizens,378.9
2007,Total,25-29,Non-Malaysian citizens,339.1
2007,Total,30-34,Non-Malaysian citizens,269.5
2007,Total,35-39,Non-Malaysian citizens,203
2007,Total,40-44,Non-Malaysian citizens,137.1
2007,Total,45-49,Non-Malaysian citizens,87.7
2007,Total,50-54,Non-Malaysian citizens,51.1
2007,Total,55-59,Non-Malaysian citizens,31.2
2007,Total,60-64,Non-Malaysian citizens,19.2
2007,Total,65-69,Non-Malaysian citizens,12.5
2007,Total,70-74,Non-Malaysian citizens,8.4
2007,Total,75-79,Non-Malaysian citizens,6.1
2007,Total,80+,Non-Malaysian citizens,8.9
2007,Total,Total,Non-Malaysian citizens,2055.3
2007,Male,00-04,Non-Malaysian citizens,30.7
2007,Male,05-09,Non-Malaysian citizens,36.1
2007,Male,10-14,Non-Malaysian citizens,60.7
2007,Male,15-19,Non-Malaysian citizens,154
2007,Male,20-24,Non-Malaysian citizens,235.7
2007,Male,25-29,Non-Malaysian citizens,214.9
2007,Male,30-34,Non-Malaysian citizens,163.5
2007,Male,35-39,Non-Malaysian citizens,120
2007,Male,40-44,Non-Malaysian citizens,82.8
2007,Male,45-49,Non-Malaysian citizens,54
2007,Male,50-54,Non-Malaysian citizens,30.9
2007,Male,55-59,Non-Malaysian citizens,18.5
2007,Male,60-64,Non-Malaysian citizens,11.2
2007,Male,65-69,Non-Malaysian citizens,7.2
2007,Male,70-74,Non-Malaysian citizens,4.6
2007,Male,75-79,Non-Malaysian citizens,3.2
2007,Male,80+,Non-Malaysian citizens,4.5
2007,Male,Total,Non-Malaysian citizens,1232.5
2007,Female,00-04,Non-Malaysian citizens,28.2
2007,Female,05-09,Non-Malaysian citizens,32.6
2007,Female,10-14,Non-Malaysian citizens,48.9
2007,Female,15-19,Non-Malaysian citizens,111.5
2007,Female,20-24,Non-Malaysian citizens,143.2
2007,Female,25-29,Non-Malaysian citizens,124.2
2007,Female,30-34,Non-Malaysian citizens,106
2007,Female,35-39,Non-Malaysian citizens,83
2007,Female,40-44,Non-Malaysian citizens,54.3
2007,Female,45-49,Non-Malaysian citizens,33.8
2007,Female,50-54,Non-Malaysian citizens,20.1
2007,Female,55-59,Non-Malaysian citizens,12.7
2007,Female,60-64,Non-Malaysian citizens,7.9
2007,Female,65-69,Non-Malaysian citizens,5.3
2007,Female,70-74,Non-Malaysian citizens,3.8
2007,Female,75-79,Non-Malaysian citizens,2.9
2007,Female,80+,Non-Malaysian citizens,4.4
2007,Female,Total,Non-Malaysian citizens,822.8
2008,Total,00-04,Non-Malaysian citizens,58.9
2008,Total,05-09,Non-Malaysian citizens,59.7
2008,Total,10-14,Non-Malaysian citizens,89
2008,Total,15-19,Non-Malaysian citizens,251.7
2008,Total,20-24,Non-Malaysian citizens,410
2008,Total,25-29,Non-Malaysian citizens,389.4
2008,Total,30-34,Non-Malaysian citizens,282.8
2008,Total,35-39,Non-Malaysian citizens,218.3
2008,Total,40-44,Non-Malaysian citizens,145
2008,Total,45-49,Non-Malaysian citizens,93.2
2008,Total,50-54,Non-Malaysian citizens,55.4
2008,Total,55-59,Non-Malaysian citizens,32.7
2008,Total,60-64,Non-Malaysian citizens,21.1
2008,Total,65-69,Non-Malaysian citizens,13.1
2008,Total,70-74,Non-Malaysian citizens,9
2008,Total,75-79,Non-Malaysian citizens,6.1
2008,Total,80+,Non-Malaysian citizens,9.3
2008,Total,Total,Non-Malaysian citizens,2144.7
2008,Male,00-04,Non-Malaysian citizens,30.7
2008,Male,05-09,Non-Malaysian citizens,31.4
2008,Male,10-14,Non-Malaysian citizens,48.8
2008,Male,15-19,Non-Malaysian citizens,145.4
2008,Male,20-24,Non-Malaysian citizens,252.4
2008,Male,25-29,Non-Malaysian citizens,249.9
2008,Male,30-34,Non-Malaysian citizens,175.6
2008,Male,35-39,Non-Malaysian citizens,129.5
2008,Male,40-44,Non-Malaysian citizens,86.9
2008,Male,45-49,Non-Malaysian citizens,57.4
2008,Male,50-54,Non-Malaysian citizens,33.7
2008,Male,55-59,Non-Malaysian citizens,19.3
2008,Male,60-64,Non-Malaysian citizens,12.3
2008,Male,65-69,Non-Malaysian citizens,7.5
2008,Male,70-74,Non-Malaysian citizens,5
2008,Male,75-79,Non-Malaysian citizens,3.2
2008,Male,80+,Non-Malaysian citizens,4.8
2008,Male,Total,Non-Malaysian citizens,1293.8
2008,Female,00-04,Non-Malaysian citizens,28.2
2008,Female,05-09,Non-Malaysian citizens,28.3
2008,Female,10-14,Non-Malaysian citizens,40.3
2008,Female,15-19,Non-Malaysian citizens,106.3
2008,Female,20-24,Non-Malaysian citizens,157.6
2008,Female,25-29,Non-Malaysian citizens,139.5
2008,Female,30-34,Non-Malaysian citizens,107.2
2008,Female,35-39,Non-Malaysian citizens,88.7
2008,Female,40-44,Non-Malaysian citizens,58.1
2008,Female,45-49,Non-Malaysian citizens,35.8
2008,Female,50-54,Non-Malaysian citizens,21.7
2008,Female,55-59,Non-Malaysian citizens,13.4
2008,Female,60-64,Non-Malaysian citizens,8.8
2008,Female,65-69,Non-Malaysian citizens,5.6
2008,Female,70-74,Non-Malaysian citizens,4
2008,Female,75-79,Non-Malaysian citizens,2.9
2008,Female,80+,Non-Malaysian citizens,4.5
2008,Female,Total,Non-Malaysian citizens,850.9
2009,Total,00-04,Non-Malaysian citizens,57
2009,Total,05-09,Non-Malaysian citizens,54.7
2009,Total,10-14,Non-Malaysian citizens,67.5
2009,Total,15-19,Non-Malaysian citizens,228.1
2009,Total,20-24,Non-Malaysian citizens,430.7
2009,Total,25-29,Non-Malaysian citizens,447.5
2009,Total,30-34,Non-Malaysian citizens,303.6
2009,Total,35-39,Non-Malaysian citizens,233.8
2009,Total,40-44,Non-Malaysian citizens,155.1
2009,Total,45-49,Non-Malaysian citizens,98.3
2009,Total,50-54,Non-Malaysian citizens,60.1
2009,Total,55-59,Non-Malaysian citizens,34.5
2009,Total,60-64,Non-Malaysian citizens,22.8
2009,Total,65-69,Non-Malaysian citizens,13.9
2009,Total,70-74,Non-Malaysian citizens,9.5
2009,Total,75-79,Non-Malaysian citizens,6.2
2009,Total,80+,Non-Malaysian citizens,9.7
2009,Total,Total,Non-Malaysian citizens,2233.2
2009,Male,00-04,Non-Malaysian citizens,29.7
2009,Male,05-09,Non-Malaysian citizens,28.8
2009,Male,10-14,Non-Malaysian citizens,36.4
2009,Male,15-19,Non-Malaysian citizens,131.1
2009,Male,20-24,Non-Malaysian citizens,262.1
2009,Male,25-29,Non-Malaysian citizens,288.7
2009,Male,30-34,Non-Malaysian citizens,192.8
2009,Male,35-39,Non-Malaysian citizens,140.1
2009,Male,40-44,Non-Malaysian citizens,92.4
2009,Male,45-49,Non-Malaysian citizens,60.4
2009,Male,50-54,Non-Malaysian citizens,36.8
2009,Male,55-59,Non-Malaysian citizens,20.3
2009,Male,60-64,Non-Malaysian citizens,13.2
2009,Male,65-69,Non-Malaysian citizens,7.9
2009,Male,70-74,Non-Malaysian citizens,5.3
2009,Male,75-79,Non-Malaysian citizens,3.3
2009,Male,80+,Non-Malaysian citizens,5.1
2009,Male,Total,Non-Malaysian citizens,1354.5
2009,Female,00-04,Non-Malaysian citizens,27.4
2009,Female,05-09,Non-Malaysian citizens,25.9
2009,Female,10-14,Non-Malaysian citizens,31.1
2009,Female,15-19,Non-Malaysian citizens,97
2009,Female,20-24,Non-Malaysian citizens,168.6
2009,Female,25-29,Non-Malaysian citizens,158.8
2009,Female,30-34,Non-Malaysian citizens,110.7
2009,Female,35-39,Non-Malaysian citizens,93.6
2009,Female,40-44,Non-Malaysian citizens,62.8
2009,Female,45-49,Non-Malaysian citizens,37.9
2009,Female,50-54,Non-Malaysian citizens,23.3
2009,Female,55-59,Non-Malaysian citizens,14.2
2009,Female,60-64,Non-Malaysian citizens,9.6
2009,Female,65-69,Non-Malaysian citizens,6.1
2009,Female,70-74,Non-Malaysian citizens,4.1
2009,Female,75-79,Non-Malaysian citizens,3
2009,Female,80+,Non-Malaysian citizens,4.6
2009,Female,Total,Non-Malaysian citizens,878.7
2010,Total,00-04,Non-Malaysian citizens,54.1
2010,Total,05-09,Non-Malaysian citizens,53.3
2010,Total,10-14,Non-Malaysian citizens,47.1
2010,Total,15-19,Non-Malaysian citizens,197.3
2010,Total,20-24,Non-Malaysian citizens,439.9
2010,Total,25-29,Non-Malaysian citizens,505.5
2010,Total,30-34,Non-Malaysian citizens,337.6
2010,Total,35-39,Non-Malaysian citizens,250.2
2010,Total,40-44,Non-Malaysian citizens,167.6
2010,Total,45-49,Non-Malaysian citizens,104
2010,Total,50-54,Non-Malaysian citizens,64.8
2010,Total,55-59,Non-Malaysian citizens,36.8
2010,Total,60-64,Non-Malaysian citizens,24.3
2010,Total,65-69,Non-Malaysian citizens,15
2010,Total,70-74,Non-Malaysian citizens,10
2010,Total,75-79,Non-Malaysian citizens,6.5
2010,Total,80+,Non-Malaysian citizens,10.4
2010,Total,Total,Non-Malaysian citizens,2324.5
2010,Male,00-04,Non-Malaysian citizens,27.9
2010,Male,05-09,Non-Malaysian citizens,28.1
2010,Male,10-14,Non-Malaysian citizens,24.8
2010,Male,15-19,Non-Malaysian citizens,112.7
2010,Male,20-24,Non-Malaysian citizens,264.8
2010,Male,25-29,Non-Malaysian citizens,325.7
2010,Male,30-34,Non-Malaysian citizens,218.4
2010,Male,35-39,Non-Malaysian citizens,152.4
2010,Male,40-44,Non-Malaysian citizens,99.5
2010,Male,45-49,Non-Malaysian citizens,63.5
2010,Male,50-54,Non-Malaysian citizens,39.8
2010,Male,55-59,Non-Malaysian citizens,21.7
2010,Male,60-64,Non-Malaysian citizens,14
2010,Male,65-69,Non-Malaysian citizens,8.4
2010,Male,70-74,Non-Malaysian citizens,5.7
2010,Male,75-79,Non-Malaysian citizens,3.4
2010,Male,80+,Non-Malaysian citizens,5.6
2010,Male,Total,Non-Malaysian citizens,1416.3
2010,Female,00-04,Non-Malaysian citizens,26.2
2010,Female,05-09,Non-Malaysian citizens,25.1
2010,Female,10-14,Non-Malaysian citizens,22.3
2010,Female,15-19,Non-Malaysian citizens,84.6
2010,Female,20-24,Non-Malaysian citizens,175.1
2010,Female,25-29,Non-Malaysian citizens,179.8
2010,Female,30-34,Non-Malaysian citizens,119.3
2010,Female,35-39,Non-Malaysian citizens,97.9
2010,Female,40-44,Non-Malaysian citizens,68.1
2010,Female,45-49,Non-Malaysian citizens,40.5
2010,Female,50-54,Non-Malaysian citizens,25
2010,Female,55-59,Non-Malaysian citizens,15.1
2010,Female,60-64,Non-Malaysian citizens,10.4
2010,Female,65-69,Non-Malaysian citizens,6.6
2010,Female,70-74,Non-Malaysian citizens,4.3
2010,Female,75-79,Non-Malaysian citizens,3
2010,Female,80+,Non-Malaysian citizens,4.9
2010,Female,Total,Non-Malaysian citizens,908.2
2011,Total,00-04,Non-Malaysian citizens,71.4
2011,Total,05-09,Non-Malaysian citizens,55.2
2011,Total,10-14,Non-Malaysian citizens,48.6
2011,Total,15-19,Non-Malaysian citizens,206
2011,Total,20-24,Non-Malaysian citizens,459.2
2011,Total,25-29,Non-Malaysian citizens,529.1
2011,Total,30-34,Non-Malaysian citizens,353.7
2011,Total,35-39,Non-Malaysian citizens,261
2011,Total,40-44,Non-Malaysian citizens,175.2
2011,Total,45-49,Non-Malaysian citizens,109.2
2011,Total,50-54,Non-Malaysian citizens,68.8
2011,Total,55-59,Non-Malaysian citizens,39.1
2011,Total,60-64,Non-Malaysian citizens,25.5
2011,Total,65-69,Non-Malaysian citizens,15.6
2011,Total,70-74,Non-Malaysian citizens,10.1
2011,Total,75-79,Non-Malaysian citizens,6.6
2011,Total,80+,Non-Malaysian citizens,10.7
2011,Total,Total,Non-Malaysian citizens,2445.1
2011,Male,00-04,Non-Malaysian citizens,37
2011,Male,05-09,Non-Malaysian citizens,29.2
2011,Male,10-14,Non-Malaysian citizens,25.7
2011,Male,15-19,Non-Malaysian citizens,118
2011,Male,20-24,Non-Malaysian citizens,276.6
2011,Male,25-29,Non-Malaysian citizens,341.6
2011,Male,30-34,Non-Malaysian citizens,229.5
2011,Male,35-39,Non-Malaysian citizens,159.1
2011,Male,40-44,Non-Malaysian citizens,103.9
2011,Male,45-49,Non-Malaysian citizens,66.5
2011,Male,50-54,Non-Malaysian citizens,42.2
2011,Male,55-59,Non-Malaysian citizens,23.2
2011,Male,60-64,Non-Malaysian citizens,14.6
2011,Male,65-69,Non-Malaysian citizens,8.7
2011,Male,70-74,Non-Malaysian citizens,5.8
2011,Male,75-79,Non-Malaysian citizens,3.6
2011,Male,80+,Non-Malaysian citizens,5.8
2011,Male,Total,Non-Malaysian citizens,1490.9
2011,Female,00-04,Non-Malaysian citizens,34.4
2011,Female,05-09,Non-Malaysian citizens,26
2011,Female,10-14,Non-Malaysian citizens,22.9
2011,Female,15-19,Non-Malaysian citizens,88
2011,Female,20-24,Non-Malaysian citizens,182.6
2011,Female,25-29,Non-Malaysian citizens,187.5
2011,Female,30-34,Non-Malaysian citizens,124.2
2011,Female,35-39,Non-Malaysian citizens,101.9
2011,Female,40-44,Non-Malaysian citizens,71.3
2011,Female,45-49,Non-Malaysian citizens,42.8
2011,Female,50-54,Non-Malaysian citizens,26.6
2011,Female,55-59,Non-Malaysian citizens,16
2011,Female,60-64,Non-Malaysian citizens,10.8
2011,Female,65-69,Non-Malaysian citizens,6.9
2011,Female,70-74,Non-Malaysian citizens,4.3
2011,Female,75-79,Non-Malaysian citizens,3.1
2011,Female,80+,Non-Malaysian citizens,4.9
2011,Female,Total,Non-Malaysian citizens,954.2
2012,Total,00-04,Non-Malaysian citizens,88.3
2012,Total,05-09,Non-Malaysian citizens,56.5
2012,Total,10-14,Non-Malaysian citizens,49.8
2012,Total,15-19,Non-Malaysian citizens,214.2
2012,Total,20-24,Non-Malaysian citizens,477.2
2012,Total,25-29,Non-Malaysian citizens,547.5
2012,Total,30-34,Non-Malaysian citizens,366.7
2012,Total,35-39,Non-Malaysian citizens,269.6
2012,Total,40-44,Non-Malaysian citizens,181
2012,Total,45-49,Non-Malaysian citizens,113.3
2012,Total,50-54,Non-Malaysian citizens,71.9
2012,Total,55-59,Non-Malaysian citizens,41.5
2012,Total,60-64,Non-Malaysian citizens,26.5
2012,Total,65-69,Non-Malaysian citizens,16.2
2012,Total,70-74,Non-Malaysian citizens,10.1
2012,Total,75-79,Non-Malaysian citizens,6.9
2012,Total,80+,Non-Malaysian citizens,11
2012,Total,Total,Non-Malaysian citizens,2548.3
2012,Male,00-04,Non-Malaysian citizens,45.9
2012,Male,05-09,Non-Malaysian citizens,29.8
2012,Male,10-14,Non-Malaysian citizens,26.3
2012,Male,15-19,Non-Malaysian citizens,122.9
2012,Male,20-24,Non-Malaysian citizens,288
2012,Male,25-29,Non-Malaysian citizens,354.2
2012,Male,30-34,Non-Malaysian citizens,238.1
2012,Male,35-39,Non-Malaysian citizens,164.7
2012,Male,40-44,Non-Malaysian citizens,107
2012,Male,45-49,Non-Malaysian citizens,68.6
2012,Male,50-54,Non-Malaysian citizens,43.9
2012,Male,55-59,Non-Malaysian citizens,24.6
2012,Male,60-64,Non-Malaysian citizens,15.2
2012,Male,65-69,Non-Malaysian citizens,9
2012,Male,70-74,Non-Malaysian citizens,5.8
2012,Male,75-79,Non-Malaysian citizens,3.7
2012,Male,80+,Non-Malaysian citizens,6.1
2012,Male,Total,Non-Malaysian citizens,1553.8
2012,Female,00-04,Non-Malaysian citizens,42.5
2012,Female,05-09,Non-Malaysian citizens,26.7
2012,Female,10-14,Non-Malaysian citizens,23.5
2012,Female,15-19,Non-Malaysian citizens,91.3
2012,Female,20-24,Non-Malaysian citizens,189.2
2012,Female,25-29,Non-Malaysian citizens,193.3
2012,Female,30-34,Non-Malaysian citizens,128.6
2012,Female,35-39,Non-Malaysian citizens,104.9
2012,Female,40-44,Non-Malaysian citizens,74
2012,Female,45-49,Non-Malaysian citizens,44.6
2012,Female,50-54,Non-Malaysian citizens,28
2012,Female,55-59,Non-Malaysian citizens,16.9
2012,Female,60-64,Non-Malaysian citizens,11.3
2012,Female,65-69,Non-Malaysian citizens,7.2
2012,Female,70-74,Non-Malaysian citizens,4.2
2012,Female,75-79,Non-Malaysian citizens,3.2
2012,Female,80+,Non-Malaysian citizens,4.9
2012,Female,Total,Non-Malaysian citizens,994.5
2013,Total,00-04,Non-Malaysian citizens,111.6
2013,Total,05-09,Non-Malaysian citizens,60.7
2013,Total,10-14,Non-Malaysian citizens,53.6
2013,Total,15-19,Non-Malaysian citizens,242.3
2013,Total,20-24,Non-Malaysian citizens,544.3
2013,Total,25-29,Non-Malaysian citizens,622.9
2013,Total,30-34,Non-Malaysian citizens,417.6
2013,Total,35-39,Non-Malaysian citizens,304
2013,Total,40-44,Non-Malaysian citizens,202.4
2013,Total,45-49,Non-Malaysian citizens,125.4
2013,Total,50-54,Non-Malaysian citizens,80
2013,Total,55-59,Non-Malaysian citizens,46.3
2013,Total,60-64,Non-Malaysian citizens,29.2
2013,Total,65-69,Non-Malaysian citizens,18
2013,Total,70-74,Non-Malaysian citizens,10.5
2013,Total,75-79,Non-Malaysian citizens,7.5
2013,Total,80+,Non-Malaysian citizens,11.8
2013,Total,Total,Non-Malaysian citizens,2888
2013,Male,00-04,Non-Malaysian citizens,58.5
2013,Male,05-09,Non-Malaysian citizens,32
2013,Male,10-14,Non-Malaysian citizens,28.2
2013,Male,15-19,Non-Malaysian citizens,138.9
2013,Male,20-24,Non-Malaysian citizens,328.2
2013,Male,25-29,Non-Malaysian citizens,402.8
2013,Male,30-34,Non-Malaysian citizens,272
2013,Male,35-39,Non-Malaysian citizens,186.6
2013,Male,40-44,Non-Malaysian citizens,119.9
2013,Male,45-49,Non-Malaysian citizens,76.1
2013,Male,50-54,Non-Malaysian citizens,48.7
2013,Male,55-59,Non-Malaysian citizens,27.5
2013,Male,60-64,Non-Malaysian citizens,16.8
2013,Male,65-69,Non-Malaysian citizens,10
2013,Male,70-74,Non-Malaysian citizens,6.2
2013,Male,75-79,Non-Malaysian citizens,4.1
2013,Male,80+,Non-Malaysian citizens,6.5
2013,Male,Total,Non-Malaysian citizens,1762.9
2013,Female,00-04,Non-Malaysian citizens,53.2
2013,Female,05-09,Non-Malaysian citizens,28.7
2013,Female,10-14,Non-Malaysian citizens,25.4
2013,Female,15-19,Non-Malaysian citizens,103.4
2013,Female,20-24,Non-Malaysian citizens,216.1
2013,Female,25-29,Non-Malaysian citizens,220.1
2013,Female,30-34,Non-Malaysian citizens,145.6
2013,Female,35-39,Non-Malaysian citizens,117.4
2013,Female,40-44,Non-Malaysian citizens,82.6
2013,Female,45-49,Non-Malaysian citizens,49.3
2013,Female,50-54,Non-Malaysian citizens,31.2
2013,Female,55-59,Non-Malaysian citizens,18.8
2013,Female,60-64,Non-Malaysian citizens,12.4
2013,Female,65-69,Non-Malaysian citizens,8.1
2013,Female,70-74,Non-Malaysian citizens,4.4
2013,Female,75-79,Non-Malaysian citizens,3.4
2013,Female,80+,Non-Malaysian citizens,5.2
2013,Female,Total,Non-Malaysian citizens,1125.2
2014,Total,00-04,Non-Malaysian citizens,130.3
2014,Total,05-09,Non-Malaysian citizens,61.6
2014,Total,10-14,Non-Malaysian citizens,54.3
2014,Total,15-19,Non-Malaysian citizens,243.8
2014,Total,20-24,Non-Malaysian citizens,566.5
2014,Total,25-29,Non-Malaysian citizens,645.2
2014,Total,30-34,Non-Malaysian citizens,437
2014,Total,35-39,Non-Malaysian citizens,318.5
2014,Total,40-44,Non-Malaysian citizens,210.4
2014,Total,45-49,Non-Malaysian citizens,130.3
2014,Total,50-54,Non-Malaysian citizens,84.2
2014,Total,55-59,Non-Malaysian citizens,49.5
2014,Total,60-64,Non-Malaysian citizens,30.9
2014,Total,65-69,Non-Malaysian citizens,19.1
2014,Total,70-74,Non-Malaysian citizens,10.5
2014,Total,75-79,Non-Malaysian citizens,7.6
2014,Total,80+,Non-Malaysian citizens,12.5
2014,Total,Total,Non-Malaysian citizens,3012.3
2014,Male,00-04,Non-Malaysian citizens,67.6
2014,Male,05-09,Non-Malaysian citizens,32.5
2014,Male,10-14,Non-Malaysian citizens,28.8
2014,Male,15-19,Non-Malaysian citizens,140.3
2014,Male,20-24,Non-Malaysian citizens,343.9
2014,Male,25-29,Non-Malaysian citizens,418.7
2014,Male,30-34,Non-Malaysian citizens,285.5
2014,Male,35-39,Non-Malaysian citizens,196.9
2014,Male,40-44,Non-Malaysian citizens,124.2
2014,Male,45-49,Non-Malaysian citizens,78.8
2014,Male,50-54,Non-Malaysian citizens,51.1
